month,product_group_id,product_group_name,market_revenue,revenue_amazon
2019-01-01,1,Portable Computers,12019564896.0,2693122572.620039
2019-02-01,1,Portable Computers,13345161402.0,2870767689.431639
2019-03-01,1,Portable Computers,14525049105.0,3325878389.8907437
2019-04-01,1,Portable Computers,9928832708.0,2075048267.527809
2019-05-01,1,Portable Computers,15361999191.0,3951116801.143776
2019-06-01,1,Portable Computers,12070273923.0,2775125422.346777
2019-07-01,1,Portable Computers,11098390960.0,2792504790.264429
2019-08-01,1,Portable Computers,12497779596.0,3272334381.67964
2019-09-01,1,Portable Computers,10815403115.0,2838816342.518396
2019-10-01,1,Portable Computers,12753273156.0,3780185469.243869
2019-11-01,1,Portable Computers,13480225940.0,3917470169.1857166
2019-12-01,1,Portable Computers,14796370063.0,3713746606.540209
2020-01-01,1,Portable Computers,15994109698.0,3279647889.337516
2020-02-01,1,Portable Computers,15527020474.0,3624005069.052716
2020-03-01,1,Portable Computers,11724383592.0,2946249562.373669
2020-04-01,1,Portable Computers,13396723535.0,3226640612.2246585
2020-05-01,1,Portable Computers,14253477749.0,3899306832.5387583
2020-06-01,1,Portable Computers,9830586732.0,2592284698.80662
2020-07-01,1,Portable Computers,12117319877.0,3578771829.280262
2020-08-01,1,Portable Computers,13291345859.0,2908857566.2082973
2020-09-01,1,Portable Computers,14118470453.0,3348924432.192929
2020-10-01,1,Portable Computers,13067190775.0,3119691789.786493
2020-11-01,1,Portable Computers,14699975120.0,3123258188.9539437
2020-12-01,1,Portable Computers,12375427632.0,2476813117.644738
2021-01-01,1,Portable Computers,13057950023.0,3493495783.9971437
2021-02-01,1,Portable Computers,11111003999.0,2634598204.6459155
2021-03-01,1,Portable Computers,14031901561.0,3839350423.1555657
2021-04-01,1,Portable Computers,10380593792.0,3104481676.24608
2021-05-01,1,Portable Computers,15378128700.0,3176849860.316755
2021-06-01,1,Portable Computers,11828363107.0,2660298205.9198527
2021-07-01,1,Portable Computers,15293257504.0,3429163247.729028
2021-08-01,1,Portable Computers,10447152656.0,2499406412.312125
2021-09-01,1,Portable Computers,11708643910.0,2950530670.1004167
2021-10-01,1,Portable Computers,10956963163.0,2622995814.2633886
2021-11-01,1,Portable Computers,10138125415.0,2358959882.298829
2021-12-01,1,Portable Computers,9607839423.0,1977226962.992274
2022-01-01,1,Portable Computers,11954766126.0,3256039041.982645
2022-02-01,1,Portable Computers,9683200258.0,2456921496.4611044
2022-03-01,1,Portable Computers,15185164073.0,4490312142.669271
2022-04-01,1,Portable Computers,9288054219.0,2328054239.720825
2022-05-01,1,Portable Computers,11999182444.0,3473792844.8340235
2022-06-01,1,Portable Computers,14958800992.0,3993097673.276078
2022-07-01,1,Portable Computers,13623642753.0,4064418591.302151
2022-08-01,1,Portable Computers,12200860728.0,3448091259.8393383
2022-09-01,1,Portable Computers,11488161694.0,2655080946.0561223
2022-10-01,1,Portable Computers,10952611060.0,2255140656.705955
2022-11-01,1,Portable Computers,14690752005.0,3187286235.5041566
2022-12-01,1,Portable Computers,9308553010.0,2031717871.344111
2023-01-01,1,Portable Computers,15932476447.0,4432829331.341723
2023-02-01,1,Portable Computers,13698741281.0,2882132106.547518
2023-03-01,1,Portable Computers,15306387365.0,4151035566.156612
2023-04-01,1,Portable Computers,12726820544.0,3427618106.4810224
2023-05-01,1,Portable Computers,15261913992.0,4170646867.3266582
2023-06-01,1,Portable Computers,9704901799.0,2092219782.7522533
2023-07-01,1,Portable Computers,15381489963.0,4531929176.555774
2023-08-01,1,Portable Computers,9733901611.0,2535144036.408846
2023-09-01,1,Portable Computers,10894407659.0,2242820483.3979816
2023-10-01,1,Portable Computers,10482379841.0,3139429387.374594
2023-11-01,1,Portable Computers,13944962534.0,2847721420.415175
2023-12-01,1,Portable Computers,13695103272.0,3946543598.001423
2024-01-01,1,Portable Computers,10336690053.0,2347098590.072133
2024-02-01,1,Portable Computers,13490880387.0,3466349365.8945866
2024-03-01,1,Portable Computers,10409513089.0,2823902841.463323
2024-04-01,1,Portable Computers,12803696659.0,2688939362.3385267
2024-05-01,1,Portable Computers,15375171601.0,4192779901.424637
2024-06-01,1,Portable Computers,14027147983.0,3212741524.2564306
2024-07-01,1,Portable Computers,11863369879.0,2851323480.2532725
2024-08-01,1,Portable Computers,9231761754.0,2128098607.3468635
2024-09-01,1,Portable Computers,12766818588.0,3398142997.14996
2024-10-01,1,Portable Computers,15330625563.0,3385317209.389525
2024-11-01,1,Portable Computers,13538682978.0,3663388402.51152
2024-12-01,1,Portable Computers,11284971786.0,2714163331.5553093
2025-01-01,1,Portable Computers,13911040000.0,3155183872.0
2025-02-01,1,Portable Computers,12270047232.0,3300651008.0
2025-03-01,1,Portable Computers,13676703744.0,3273618944.0
2025-04-01,1,Portable Computers,10940867584.0,2836427264.0
2025-05-01,1,Portable Computers,13207170048.0,3461515008.0
2025-06-01,1,Portable Computers,14418676736.0,3157317888.0
2025-07-01,1,Portable Computers,12366734336.0,3275567872.0
2025-08-01,1,Portable Computers,13310342144.0,3251604992.0
2025-09-01,1,Portable Computers,12849789952.0,2977740544.0
2025-10-01,1,Portable Computers,12888360960.0,3023802624.0
2025-11-01,1,Portable Computers,13251943424.0,3174886144.0
2025-12-01,1,Portable Computers,12081745920.0,2835000832.0
2019-01-01,2,Cooling Systems,6934263789.0,487996983.4727754
2019-02-01,2,Cooling Systems,7398825862.0,561614069.835886
2019-03-01,2,Cooling Systems,5983515686.0,574871667.7849265
2019-04-01,2,Cooling Systems,5289632398.0,484823295.49930114
2019-05-01,2,Cooling Systems,5587144628.0,449451404.6197114
2019-06-01,2,Cooling Systems,4587210728.0,342934626.09179884
2019-07-01,2,Cooling Systems,6142296543.0,599156689.2052039
2019-08-01,2,Cooling Systems,6857939973.0,624291435.8606733
2019-09-01,2,Cooling Systems,4124448580.0,318179998.4343331
2019-10-01,2,Cooling Systems,7517831588.0,647339742.1236695
2019-11-01,2,Cooling Systems,5783524919.0,495397276.9225731
2019-12-01,2,Cooling Systems,6224743734.0,475724349.2859479
2020-01-01,2,Cooling Systems,6689106830.0,574813667.0999179
2020-02-01,2,Cooling Systems,4036519833.0,330145323.5381413
2020-03-01,2,Cooling Systems,6696628519.0,494195719.1938504
2020-04-01,2,Cooling Systems,7068078577.0,647720805.8000083
2020-05-01,2,Cooling Systems,6874805329.0,576933959.7415115
2020-06-01,2,Cooling Systems,7330128081.0,521660087.6165004
2020-07-01,2,Cooling Systems,5539396912.0,483993427.2423292
2020-08-01,2,Cooling Systems,7637321876.0,761680467.8060606
2020-09-01,2,Cooling Systems,7049378303.0,613683607.4836566
2020-10-01,2,Cooling Systems,6849282754.0,610875460.7329683
2020-11-01,2,Cooling Systems,6762037130.0,495932043.3567988
2020-12-01,2,Cooling Systems,5178442338.0,397028894.76782167
2021-01-01,2,Cooling Systems,6834325286.0,485803910.30617976
2021-02-01,2,Cooling Systems,5744786105.0,565271444.2986177
2021-03-01,2,Cooling Systems,4022594673.0,399133826.49585664
2021-04-01,2,Cooling Systems,7591670147.0,612998304.9426993
2021-05-01,2,Cooling Systems,6855024442.0,679912795.9808133
2021-06-01,2,Cooling Systems,6374057357.0,449150671.9137924
2021-07-01,2,Cooling Systems,4320356839.0,415207954.4544018
2021-08-01,2,Cooling Systems,5065055112.0,373148524.057913
2021-09-01,2,Cooling Systems,4027745295.0,391705795.7435039
2021-10-01,2,Cooling Systems,4923261111.0,465242101.2948582
2021-11-01,2,Cooling Systems,7942382220.0,636270854.0757931
2021-12-01,2,Cooling Systems,7826218055.0,705732926.2228289
2022-01-01,2,Cooling Systems,4963367805.0,386339381.2137337
2022-02-01,2,Cooling Systems,6268938426.0,457880707.95358473
2022-03-01,2,Cooling Systems,4944808414.0,355246695.2122196
2022-04-01,2,Cooling Systems,5538105697.0,457227680.9478327
2022-05-01,2,Cooling Systems,6516134449.0,584691722.9318343
2022-06-01,2,Cooling Systems,7324823177.0,673072544.4703788
2022-07-01,2,Cooling Systems,4480181134.0,439327053.9388826
2022-08-01,2,Cooling Systems,4965908169.0,416358949.4444598
2022-09-01,2,Cooling Systems,6396880618.0,480829251.8238096
2022-10-01,2,Cooling Systems,4632823684.0,328705419.625428
2022-11-01,2,Cooling Systems,5134425887.0,491692848.043453
2022-12-01,2,Cooling Systems,5516367221.0,535219553.9918984
2023-01-01,2,Cooling Systems,4542215947.0,366376879.9270493
2023-02-01,2,Cooling Systems,7493250615.0,733981087.0977459
2023-03-01,2,Cooling Systems,7861376542.0,597998564.3105685
2023-04-01,2,Cooling Systems,7426079096.0,609158171.4591385
2023-05-01,2,Cooling Systems,7224209524.0,648478719.1331075
2023-06-01,2,Cooling Systems,5501041136.0,512304832.64479
2023-07-01,2,Cooling Systems,7109117393.0,562092684.4390405
2023-08-01,2,Cooling Systems,4463716568.0,332804716.3801988
2023-09-01,2,Cooling Systems,7231641579.0,645053408.560919
2023-10-01,2,Cooling Systems,5539691897.0,539996762.518447
2023-11-01,2,Cooling Systems,6121419202.0,559230522.9312791
2023-12-01,2,Cooling Systems,7009697817.0,534516477.5220812
2024-01-01,2,Cooling Systems,6645516133.0,470597554.8062259
2024-02-01,2,Cooling Systems,7651170015.0,659928916.8437049
2024-03-01,2,Cooling Systems,5361323945.0,469829694.9269821
2024-04-01,2,Cooling Systems,7099826214.0,528450009.2510772
2024-05-01,2,Cooling Systems,7538492147.0,741477605.3046243
2024-06-01,2,Cooling Systems,4861952702.0,385093742.9391367
2024-07-01,2,Cooling Systems,7693790409.0,538800363.2437807
2024-08-01,2,Cooling Systems,5020694466.0,448439580.6043601
2024-09-01,2,Cooling Systems,4426885014.0,321303416.1609629
2024-10-01,2,Cooling Systems,5117105500.0,390291770.3046106
2024-11-01,2,Cooling Systems,4212881629.0,383792902.13862586
2024-12-01,2,Cooling Systems,6687932705.0,539573610.8080157
2025-01-01,2,Cooling Systems,5636049408.0,456901664.0
2025-02-01,2,Cooling Systems,5952751616.0,507343136.0
2025-03-01,2,Cooling Systems,5555703808.0,620224640.0
2025-04-01,2,Cooling Systems,6089961472.0,597733824.0
2025-05-01,2,Cooling Systems,6087939072.0,628481344.0
2025-06-01,2,Cooling Systems,6753606144.0,608537216.0
2025-07-01,2,Cooling Systems,5547339776.0,588721856.0
2025-08-01,2,Cooling Systems,5634470400.0,581361280.0
2025-09-01,2,Cooling Systems,6337263616.0,581144448.0
2025-10-01,2,Cooling Systems,5736260096.0,596686976.0
2025-11-01,2,Cooling Systems,6227693056.0,602148864.0
2025-12-01,2,Cooling Systems,6770886144.0,540693824.0
2019-01-01,3,Frozen Storage Units,1167914918.0,121573487.6421452
2019-02-01,3,Frozen Storage Units,1145064438.0,112288685.81257778
2019-03-01,3,Frozen Storage Units,1105730162.0,116653986.83629084
2019-04-01,3,Frozen Storage Units,1220253878.0,137670185.823334
2019-05-01,3,Frozen Storage Units,1173492793.0,148345521.51809585
2019-06-01,3,Frozen Storage Units,1494269637.0,148196849.62729573
2019-07-01,3,Frozen Storage Units,1838343954.0,209863390.138168
2019-08-01,3,Frozen Storage Units,1126117901.0,101863733.22772652
2019-09-01,3,Frozen Storage Units,1585082340.0,192294097.1859844
2019-10-01,3,Frozen Storage Units,1176683368.0,104897963.00146297
2019-11-01,3,Frozen Storage Units,1655396307.0,172209956.57132477
2019-12-01,3,Frozen Storage Units,1092369423.0,89967092.48043853
2020-01-01,3,Frozen Storage Units,1736491285.0,173149951.35787156
2020-02-01,3,Frozen Storage Units,1705213381.0,172952536.87419176
2020-03-01,3,Frozen Storage Units,1397443916.0,135667462.89190537
2020-04-01,3,Frozen Storage Units,1425127049.0,148547233.19373155
2020-05-01,3,Frozen Storage Units,1928686180.0,220839739.28156528
2020-06-01,3,Frozen Storage Units,1992378168.0,161994786.68623933
2020-07-01,3,Frozen Storage Units,1847143906.0,149096729.03047183
2020-08-01,3,Frozen Storage Units,1821136437.0,226377081.1567304
2020-09-01,3,Frozen Storage Units,1525464683.0,194495907.54839805
2020-10-01,3,Frozen Storage Units,1111091583.0,99226332.2910569
2020-11-01,3,Frozen Storage Units,1044463254.0,99490599.03405626
2020-12-01,3,Frozen Storage Units,1451071541.0,120002547.66158238
2021-01-01,3,Frozen Storage Units,1231420898.0,133237053.7466523
2021-02-01,3,Frozen Storage Units,1190773736.0,99649081.84619474
2021-03-01,3,Frozen Storage Units,1726414924.0,168351270.28150383
2021-04-01,3,Frozen Storage Units,1698397548.0,206234125.1468804
2021-05-01,3,Frozen Storage Units,1838052645.0,180199078.0342904
2021-06-01,3,Frozen Storage Units,1633562694.0,146276378.39842242
2021-07-01,3,Frozen Storage Units,1886159946.0,216068249.0351833
2021-08-01,3,Frozen Storage Units,1597763294.0,192962151.06816053
2021-09-01,3,Frozen Storage Units,1729995029.0,192623063.1186321
2021-10-01,3,Frozen Storage Units,1493192965.0,173362282.54140788
2021-11-01,3,Frozen Storage Units,1360901934.0,128435922.17818798
2021-12-01,3,Frozen Storage Units,1973116817.0,202007954.74093267
2022-01-01,3,Frozen Storage Units,1647895453.0,139618161.3409007
2022-02-01,3,Frozen Storage Units,1352063763.0,130361761.69945934
2022-03-01,3,Frozen Storage Units,1696880762.0,162320445.08989224
2022-04-01,3,Frozen Storage Units,1351192791.0,111862546.00267851
2022-05-01,3,Frozen Storage Units,1277063125.0,107783053.606934
2022-06-01,3,Frozen Storage Units,1792515800.0,203088538.43151173
2022-07-01,3,Frozen Storage Units,1138551811.0,144602392.9053967
2022-08-01,3,Frozen Storage Units,1588818211.0,192001104.6872889
2022-09-01,3,Frozen Storage Units,1324504586.0,131363255.14545517
2022-10-01,3,Frozen Storage Units,1759048613.0,169128430.44773275
2022-11-01,3,Frozen Storage Units,1228640201.0,113873847.72039331
2022-12-01,3,Frozen Storage Units,1051630681.0,100152030.8637152
2023-01-01,3,Frozen Storage Units,1511606814.0,158420519.4135756
2023-02-01,3,Frozen Storage Units,1617284716.0,187065608.95626175
2023-03-01,3,Frozen Storage Units,1689853182.0,167765013.35130417
2023-04-01,3,Frozen Storage Units,1357536633.0,158420363.43753013
2023-05-01,3,Frozen Storage Units,1997209446.0,193102328.63530695
2023-06-01,3,Frozen Storage Units,1818555342.0,221426385.72043037
2023-07-01,3,Frozen Storage Units,1965108000.0,169279853.04561225
2023-08-01,3,Frozen Storage Units,1516163803.0,181260744.50344896
2023-09-01,3,Frozen Storage Units,1527468339.0,153579294.0118371
2023-10-01,3,Frozen Storage Units,1361012992.0,167710560.01370594
2023-11-01,3,Frozen Storage Units,1040102870.0,117006959.67101271
2023-12-01,3,Frozen Storage Units,1824670447.0,156071714.28361243
2024-01-01,3,Frozen Storage Units,1278713358.0,118252570.751103
2024-02-01,3,Frozen Storage Units,1544266439.0,126115195.027088
2024-03-01,3,Frozen Storage Units,1547232406.0,133611517.96494327
2024-04-01,3,Frozen Storage Units,1128236039.0,99267165.85751858
2024-05-01,3,Frozen Storage Units,1197451412.0,140147182.05190653
2024-06-01,3,Frozen Storage Units,1219811082.0,145147699.63001966
2024-07-01,3,Frozen Storage Units,1666761411.0,192596613.76455188
2024-08-01,3,Frozen Storage Units,1632594586.0,171337781.79930356
2024-09-01,3,Frozen Storage Units,1716180644.0,184261409.187071
2024-10-01,3,Frozen Storage Units,1845104035.0,168764988.9367533
2024-11-01,3,Frozen Storage Units,1151311713.0,137395598.46540684
2024-12-01,3,Frozen Storage Units,1868161218.0,205837998.7549575
2025-01-01,3,Frozen Storage Units,1690252160.0,143940544.0
2025-02-01,3,Frozen Storage Units,1600822528.0,138951936.0
2025-03-01,3,Frozen Storage Units,1797258368.0,146327520.0
2025-04-01,3,Frozen Storage Units,1709280896.0,144752752.0
2025-05-01,3,Frozen Storage Units,1872068096.0,158770944.0
2025-06-01,3,Frozen Storage Units,1746781056.0,165852528.0
2025-07-01,3,Frozen Storage Units,1645971200.0,171952672.0
2025-08-01,3,Frozen Storage Units,1578355712.0,173673040.0
2025-09-01,3,Frozen Storage Units,1553903616.0,171414720.0
2025-10-01,3,Frozen Storage Units,1485497856.0,132096152.0
2025-11-01,3,Frozen Storage Units,1583993088.0,119411200.0
2025-12-01,3,Frozen Storage Units,1569452416.0,127412224.0
2019-01-01,4,Laundry Machines,7268200855.0,676055858.8054383
2019-02-01,4,Laundry Machines,8012279547.0,715093556.3826818
2019-03-01,4,Laundry Machines,8702623994.0,617848880.1977514
2019-04-01,4,Laundry Machines,6418029871.0,614659736.5073627
2019-05-01,4,Laundry Machines,8297832452.0,626761132.1454278
2019-06-01,4,Laundry Machines,7965852870.0,738850300.9106178
2019-07-01,4,Laundry Machines,8015838088.0,760153031.0159217
2019-08-01,4,Laundry Machines,5216419532.0,367141616.4585289
2019-09-01,4,Laundry Machines,7955523297.0,597371136.1010463
2019-10-01,4,Laundry Machines,6435681525.0,540174119.5081257
2019-11-01,4,Laundry Machines,8302165281.0,783556430.5070908
2019-12-01,4,Laundry Machines,6543740437.0,520076045.77118105
2020-01-01,4,Laundry Machines,5318707138.0,420392597.83092
2020-02-01,4,Laundry Machines,7763041611.0,644101845.358999
2020-03-01,4,Laundry Machines,5831741331.0,579432417.2846444
2020-04-01,4,Laundry Machines,8263772941.0,587355278.977675
2020-05-01,4,Laundry Machines,5715304530.0,540041525.7099794
2020-06-01,4,Laundry Machines,8268397411.0,694613085.8210243
2020-07-01,4,Laundry Machines,5787641946.0,424588258.294144
2020-08-01,4,Laundry Machines,6993394448.0,602258087.8938043
2020-09-01,4,Laundry Machines,7115898437.0,619386716.6258752
2020-10-01,4,Laundry Machines,7816784541.0,694986352.5130645
2020-11-01,4,Laundry Machines,6163778497.0,520946310.5724238
2020-12-01,4,Laundry Machines,8527204930.0,659575252.583551
2021-01-01,4,Laundry Machines,5096390583.0,492984141.73296326
2021-02-01,4,Laundry Machines,6128772179.0,544879360.7407014
2021-03-01,4,Laundry Machines,8435381391.0,717843774.804603
2021-04-01,4,Laundry Machines,5010914448.0,367857785.4905245
2021-05-01,4,Laundry Machines,8985206453.0,821260242.3855561
2021-06-01,4,Laundry Machines,7293523060.0,711862888.1423827
2021-07-01,4,Laundry Machines,6850146681.0,625372239.5454025
2021-08-01,4,Laundry Machines,8076751011.0,790171893.6997733
2021-09-01,4,Laundry Machines,7768620290.0,550239252.8294472
2021-10-01,4,Laundry Machines,7953664797.0,673282144.1894126
2021-11-01,4,Laundry Machines,6919316378.0,649050164.4395705
2021-12-01,4,Laundry Machines,5586334433.0,459519972.3189439
2022-01-01,4,Laundry Machines,6989125658.0,519191270.2381062
